PatronBusqueda,MultiTienda,Descripcion,Precio,PrecioUF
notebook hp,Ripley,"HP 14-DQ2508LA / INTEL CORE I3 / 8GB RAM / 256GB SSD / 14"" FHD",319990,8.87
notebook hp,Ripley,NOTEBOOK HP 14-DK1510LA AMD3020E 4GB 256SSD,250990,6.96
notebook hp,Ripley,"HP PAVILION 14-DV2003LA / INTEL CORE I7 / 12GB RAM / 512GB SSD / 14"" FHD",669990,18.57
notebook hp,Ripley,"HP VICTUS 16-D0515LA / INTEL CORE I7 / 16GB RAM / 512GB SSD / 16.1"" FHD / NVIDIA GEFORCE RTX 3060",1049990,29.1
notebook hp,Ripley,"HP 15-DY5000LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 15.6"" FHD",559990,15.52
notebook hp,Ripley,NOTEBOOK HP 14-DQ2507LA CORE I3 4GB RAM 256GB,359990,9.98
notebook hp,Ripley,NOTEBOOK HP PAVILION 15-EH1503LA RYZEN7 8GB RAM 512GB SSD,699990,19.4
notebook hp,Ripley,"HP PAVILION 15-EG0503LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 15.6"" FHD",649990,18.01
notebook hp,Ripley,NOTEBOOK HP VICTUS 15-FB0116LA RYZEN5 8GB RAM 512GB 4GB,699990,19.4
notebook hp,Ripley,NOTEBOOK HP 14-DQ0502LA INTEL CELERON 8 GB 256 GB SSD,219990,6.1
notebook hp,Ripley,"HP PAVILION PLUS 14-EH0103LA / INTEL CORE I7 / 16GB RAM / 512GB SSD / 14"" 2.8K OLED / NVIDIA GEFORCE RTX2050",1029990,28.54
notebook hp,Ripley,"HP VICTUS 16-D0500LA / INTEL CORE I5 / 8GB RAM / 256GB SSD / 16.1"" FHD / NVIDIA GEFORCE RTX 3050",799990,22.17
notebook hp,Ripley,NOTEBOOK HP SPECTRE X360 14-EF0101LA  CORE I7 16GB RAM 1TB,1602990,44.42
notebook hp,Ripley,"HP 15-EF2516LA / AMD RYZEN 3 / 8GB RAM / 512GB SSD / 15.6"" FHD",529990,14.69
notebook hp,Ripley,NOTEBOOK HP 14-DV2004LA INTEL COREI7 16GB RAM 1TB SSD,960990,26.63
notebook hp,Ripley,NOTEBOOK HP 14-DQ0501LA INTEL CELERON 4 GB 256 GB SSD,169990,4.71
notebook hp,Ripley,"HP PAVILION 15-EH1510LA / AMD RYZEN 7 / 16GB RAM / 512GB SSD / 15.6"" FHD + MOCHILA HP RENEW",869990,24.11
notebook hp,Ripley,"HP VICTUS 16-D0511LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 16.1"" FHD / NVIDIA GEFORCE GTX 1650",709990,19.68
notebook hp,Ripley,NOTEBOOK HP 14-EM0001LA AMD RYZEN 3 8GB RAM 256GB,359990,9.98
notebook hp,Ripley,AIO 24-K0001LA I5-10400T 8GB 1TB+256GB,1099990,30.48
notebook hp,Ripley,"HP PAVILION PLUS 14-EH0104LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 14"" 2.2K",799990,22.17
notebook hp,Ripley,NOTEBOOK HP 14-DQ0500LA INTEL CELERON 4 GB 128 GB SSD,159990,4.43
notebook hp,Ripley,"HP VICTUS 15-FB0115LA / AMD RYZEN 5 / 8GB RAM / 512GB SSD / 15.6"" FHD / NVIDIA GEFORCE GTX 1650",869990,24.11
notebook hp,Ripley,"NOTEBOOK HP 240 G8 DE 14“ (CELERON N4020, 8GB RAM, 500GB SSD, WIN10)",269990,7.48
notebook hp,Ripley,NOTEBOOK HP OMEN 16-C0500LA RYZEN9 32GB RAM 1TB 8GB,1299990,36.03
notebook hp,Ripley,"NOTEBOOK HP 240 G8 DE 14“ (I5-1135G7, 8GB RAM, 512GB SSD, WIN11)",509990,14.13
notebook hp,Ripley,HP PAVILION X360 CONVERTIBLE 14-DY0501LA / INTEL CORE I3 / 8GB RAM / 256GB SSD / INTEL UHD GRAPHICS / 14'',499990,13.86
notebook hp,Ripley,"NOTEBOOK HP 240 DE 14“ (I3-1115G4, 8GB RAM, 512GB SSD, WIN11)",372990,10.34
notebook hp,Ripley,"HP PAVILION X360 14-DY2003LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 14"" FHD TOUCH + LAPIZ ZENVO",749990,20.78
notebook hp,Ripley,"HP OMEN 16-B1001LA / INTEL CORE I7 / 16GB RAM / 512GB SSD / 16.1"" FHD / NVIDIA GEFORCE RTX 3060",1299990,36.03
notebook hp,Ripley,"HP PAVILION PLUS 14-EH0101LA / INTEL CORE I7 / 16GB RAM / 512GB SSD / 14"" 2.8K OLED / NVIDIA GEFORCE RTX2050",1099990,30.48
notebook hp,Ripley,"HP VICTUS 16-D0511LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 16.1"" FHD / NVIDIA GEFORCE GTX 1650 + BUNDLE HYPERX",749990,20.78
notebook hp,Ripley,NOTEBOOK HP PAVILION PLUS 14-EH0100LA INTEL COREI5 8GB RAM 512GB SSD,799990,22.17
notebook hp,Ripley,NOTEBOOK HP 14 / INTEL I3-1115G4 / 4GB / 256GB SSD / 14” FHD,359990,9.98
notebook hp,Ripley,"HP 14-DQ0506LA / INTEL PENTIUM / 8GB RAM / 256GB SSD / 14"" HD",379990,10.53
notebook hp,Ripley,NOTEBOOK HP VICTUS 15-FB0110LA RYZEN7 8GB RAM 512GB SSD 4GB,999990,27.71
notebook hp,Ripley,"HP PAVILION X360 14-DY0011LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 14"" FHD TOUCH + LAPIZ ZENVO",629990,17.46
notebook hp,Ripley,"HP 14-DQ2025LA / INTEL CORE I3 / 4GB RAM + 16GB OPTANE / 256GB SSD / 14"" HD",399990,11.08
